Food_Item,,Calcium,Proteins,Carbohydrares,Fats,calorie,rasa,guna,virya,vipaka
adhirasam,,1,4,16,45,,,,,
aloo_gobi,,5,5,8,17,,,,,
aloo_matar,,7,7,6,12,,,,,
aloo_methi,,25,4,4,31,,,,,
aloo_shimla_mirch,,0,0,1,5,,,,,
aloo_tikki,,1,2,3,6,,,,,
anarsa,,0.5,0.5,25,23,,,,,
ariselu,,1,4,16,45,,,,,
bandar_laddu,,4,15,13,21,,,,,
basundi,,0.25,5.3,18,11,,,,,
bhatura,,3,6,7,18,,,,,
bhindi_masala,,12,7,5,2,,,,,
biryani,,26,16,20,28,190,amla,laghu,shita,madhura
boondi,,0,2,1,4,,,,,
butter_chicken,,2,23,10,54,,,,,
chak_hao_kheer,,21,15,6,20,,,,,
cham_cham,,39,10,12,13,,,,,
chana_masala,,8,8,5,17,,,,,
chapati,,1.1,3.1,6,6,,,,,
chhena_kheeri,,0,29,40,31,,,,,
chicken_razala,,0,24,18,58,,,,,
chicken_tikka,,0,1,15,6,,,,,
chicken_tikka_masala,,0,15,19,24,,,,,
chikki,,2,4,3,6,,,,,
daal_baati_churma,,3,4,20,15,,,,,
daal_puri,,1,3,2,5,,,,,
dal_makhani,,18,15,8,26,,,,,
dal_tadka,,7,22,10,16,,,,,
dharwad_pedha,,94,20,15,24,,,,,
doodhpak,,89,20,13,30,,,,,
double_ka_meetha,,57,19,19,20,,,,,
dum_aloo,,14,5,8,25,,,,,
gajar_ka_halwa,,50,10,14,33,,,,,
gavvalu,,4,4,30,1,,,,,
ghevar,,0,1,4,3,,,,,
gulab_jamun,,17,4,12,4,,,,,
imarti,,1,2,5,8,,,,,
jalebi,,0,0,2,3,,,,,
kachori,,2,7,6,17,,,,,
kadai_paneer,,47,14,3,32,,,,,
kadhi_pakoda,,27,18,8,21,,,,,
kajjikaya,,1,3,4,12,,,,,
kakinada_khaja,,1,10,36,102,,,,,
kalakand,,23,7,3,13,,,,,
karela_bharta,,7,3,2,19,,,,,
kofta,,40,14,10,37,,,,,
kuzhi_paniyaram,,0,1,0,2,,,,,
lassi,,52,12,12,15,,,,,
ledikeni,,0,262,360.7,135,,,,,
litti_chokha,,0,14,37,8,,,,,
lyangcha,,1,14,1,4,,,,,
maach_jhol,,5,27,43,30,,,,,
makki_di_roti_sarson_da_saag,,2,17,31,6,,,,,
malapua,,2,1,7,6,,,,,
misi_roti,,2,6,5,8,,,,,
misti_doi,,50,14,12,30,,,,,
modak,,2,2,7,7,,,,,
mysore_pak,,1,4,10,32,,,,,
naan,,5,5,6,5,,,,,
navrattan_korma,,23,11,5,25,,,,,
palak_paneer,,58,19,5,36,,,,,
paneer_butter_masala,,121,37,10,73,,,,,
phirni,,70,17,12,20,,,,,
pithe,,1,4,8,13,,,,,
poha,,2,4,8,12,,,,,
poornalu,,6,20,33,29,,,,,
pootharekulu,,0,5,74,21,,,,,
qubani_ka_meetha,,27,7,18,26,,,,,
rabri,,72,19,13,20,,,,,
rasgulla,,18,4,5,5,,,,,
ras_malai,,71,16,11,20,,,,,
sandesh,,43,9,6,12,,,,,
shankarpali,,13,19,25,50,,,,,
sheera,,7,7,17,27,,,,,
sheer_korma,,105,33,20,52,,,,,
shrikhand,,88,20,13,25,,,,,
sohan_halwa,,0,2,33,64,,,,,
sohan_papdi,,0,2,7,12,,,,,
sutar_feni,,0,7,68,25,,,,,
unni_appam,,1,1,4,8,,,,,
